Step #0.00 (0ms ?*RT. ?UPS, TraCI: 806ms, vehicles TOT 0 ACT 0 BUF 0)                    
Step #0.00 (10ms ~= 100.00*RT, ~500.00UPS, TraCI: 14ms, vehicles TOT 5 ACT 5 BUF 50)      
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 0ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #3100.00 (53ms ~= 18.87*RT, ~18207.55UPS, TraCI: 5ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (54ms ~= 18.52*RT, ~17518.52UPS, TraCI: 6ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (52ms ~= 19.23*RT, ~18538.46UPS, TraCI: 8ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (75ms ~= 13.33*RT, ~12800.00UPS, TraCI: 9ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (51ms ~= 19.61*RT, ~18647.06UPS, TraCI: 8ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (55ms ~= 18.18*RT, ~17490.91UPS, TraCI: 7ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3612.00 (53ms ~= 18.87*RT, ~18320.75UPS, TraCI: 14ms, vehicles TOT 2435 ACT 971 BUF 

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 6ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (1ms ~= 1000.00*RT, ~116000.00UPS, TraCI: 6ms, vehicles TOT 128 ACT 116 BUF 1
Step #200.00 (5ms ~= 200.00*RT, ~33800.00UPS, TraCI: 8ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 6ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 7ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (11ms ~= 90.91*RT, ~31090.91UPS, TraCI: 0ms, vehicles TOT 507 ACT 342 BUF 0) 
Step #600.00 (15ms ~= 66.67*RT, ~26266.67UPS, TraCI: 8ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (17ms ~= 58.82*RT, ~26117.65UPS, TraCI: 8ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (20ms ~= 50.00*RT, ~24950.00UPS, TraCI: 8ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (28ms ~= 35.71*RT, ~19357.14UPS, TraCI: 1ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (33ms ~= 30.30*RT, ~19242.42UPS, TraCI: 8ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (37ms ~= 27.03*RT, ~18297.30UPS, TraCI: 8ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (43ms ~= 23.26*RT, ~16720.93UPS, TraCI: 8ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (45ms ~= 22.22*RT, ~16844.44UPS, TraCI: 7ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (54ms ~= 18.52*RT, ~15037.04UPS, TraCI: 7ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (51ms ~= 19.61*RT, ~16215.69UPS, TraCI: 7ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (48ms ~= 20.83*RT, ~17479.17UPS, TraCI: 7ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (50ms ~= 20.00*RT, ~16980.00UPS, TraCI: 9ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (51ms ~= 19.61*RT, ~16745.10UPS, TraCI: 11ms, vehicles TOT 1601 ACT 854 BUF 
Step #1900.00 (55ms ~= 18.18*RT, ~16200.00UPS, TraCI: 7ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (51ms ~= 19.61*RT, ~17411.76UPS, TraCI: 7ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (55ms ~= 18.18*RT, ~16600.00UPS, TraCI: 7ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (54ms ~= 18.52*RT, ~17333.33UPS, TraCI: 7ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (55ms ~= 18.18*RT, ~17072.73UPS, TraCI: 7ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (54ms ~= 18.52*RT, ~17092.59UPS, TraCI: 11ms, vehicles TOT 1935 ACT 923 BUF 
Step #2500.00 (56ms ~= 17.86*RT, ~16500.00UPS, TraCI: 17ms, vehicles TOT 1967 ACT 924 BUF 
Step #2600.00 (55ms ~= 18.18*RT, ~16745.45UPS, TraCI: 7ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (54ms ~= 18.52*RT, ~17314.81UPS, TraCI: 8ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (58ms ~= 17.24*RT, ~16344.83UPS, TraCI: 7ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (51ms ~= 19.61*RT, ~18823.53UPS, TraCI: 8ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (52ms ~= 19.23*RT, ~18538.46UPS, TraCI: 6ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (53ms ~= 18.87*RT, ~18207.55UPS, TraCI: 6ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (54ms ~= 18.52*RT, ~17518.52UPS, TraCI: 6ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (56ms ~= 17.86*RT, ~17214.29UPS, TraCI: 7ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (54ms ~= 18.52*RT, ~17777.78UPS, TraCI: 8ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (52ms ~= 19.23*RT, ~18288.46UPS, TraCI: 6ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (54ms ~= 18.52*RT, ~17796.30UPS, TraCI: 11ms, vehicles TOT 2423 ACT 961 BUF 

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 5ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (1ms ~= 1000.00*RT, ~116000.00UPS, TraCI: 1ms, vehicles TOT 128 ACT 116 BUF 1
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 4ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (6ms ~= 166.67*RT, ~36166.67UPS, TraCI: 5ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (8ms ~= 125.00*RT, ~34375.00UPS, TraCI: 6ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 9ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (14ms ~= 71.43*RT, ~28142.86UPS, TraCI: 2ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (17ms ~= 58.82*RT, ~26117.65UPS, TraCI: 9ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (20ms ~= 50.00*RT, ~24950.00UPS, TraCI: 1ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (28ms ~= 35.71*RT, ~19357.14UPS, TraCI: 8ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (37ms ~= 27.03*RT, ~17162.16UPS, TraCI: 9ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (36ms ~= 27.78*RT, ~18805.56UPS, TraCI: 9ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (44ms ~= 22.73*RT, ~16340.91UPS, TraCI: 12ms, vehicles TOT 1178 ACT 719 BUF 
Step #1300.00 (45ms ~= 22.22*RT, ~16844.44UPS, TraCI: 8ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (53ms ~= 18.87*RT, ~15320.75UPS, TraCI: 7ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (49ms ~= 20.41*RT, ~16877.55UPS, TraCI: 7ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (48ms ~= 20.83*RT, ~17479.17UPS, TraCI: 8ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (50ms ~= 20.00*RT, ~16980.00UPS, TraCI: 8ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (52ms ~= 19.23*RT, ~16423.08UPS, TraCI: 14ms, vehicles TOT 1601 ACT 854 BUF 
Step #1900.00 (54ms ~= 18.52*RT, ~16500.00UPS, TraCI: 8ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (56ms ~= 17.86*RT, ~15857.14UPS, TraCI: 6ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (53ms ~= 18.87*RT, ~17226.42UPS, TraCI: 11ms, vehicles TOT 1810 ACT 913 BUF 
Step #2200.00 (55ms ~= 18.18*RT, ~17018.18UPS, TraCI: 7ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (53ms ~= 18.87*RT, ~17716.98UPS, TraCI: 8ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (53ms ~= 18.87*RT, ~17415.09UPS, TraCI: 11ms, vehicles TOT 1935 ACT 923 BUF 
Step #2500.00 (58ms ~= 17.24*RT, ~15931.03UPS, TraCI: 7ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (55ms ~= 18.18*RT, ~16745.45UPS, TraCI: 8ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (54ms ~= 18.52*RT, ~17314.81UPS, TraCI: 7ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (60ms ~= 16.67*RT, ~15800.00UPS, TraCI: 8ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (51ms ~= 19.61*RT, ~18823.53UPS, TraCI: 7ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (53ms ~= 18.87*RT, ~18188.68UPS, TraCI: 1ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (54ms ~= 18.52*RT, ~17870.37UPS, TraCI: 8ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (54ms ~= 18.52*RT, ~17518.52UPS, TraCI: 7ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (56ms ~= 17.86*RT, ~17214.29UPS, TraCI: 2ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (56ms ~= 17.86*RT, ~17142.86UPS, TraCI: 7ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (53ms ~= 18.87*RT, ~17943.40UPS, TraCI: 6ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (55ms ~= 18.18*RT, ~17490.91UPS, TraCI: 7ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3606.00 (53ms ~= 18.87*RT, ~18226.42UPS, TraCI: 11ms, vehicles TOT 2429 ACT 966 BUF 

Step #0.00 (3ms ~= 333.33*RT, ~1666.67UPS, TraCI: 6ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 4ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 6ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 6ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (8ms ~= 125.00*RT, ~34375.00UPS, TraCI: 8ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (11ms ~= 90.91*RT, ~31090.91UPS, TraCI: 6ms, vehicles TOT 507 ACT 342 BUF 0) 
Step #600.00 (14ms ~= 71.43*RT, ~28142.86UPS, TraCI: 2ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (17ms ~= 58.82*RT, ~26117.65UPS, TraCI: 8ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 8ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (29ms ~= 34.48*RT, ~18689.66UPS, TraCI: 6ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (33ms ~= 30.30*RT, ~19242.42UPS, TraCI: 9ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (36ms ~= 27.78*RT, ~18805.56UPS, TraCI: 8ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (45ms ~= 22.22*RT, ~15977.78UPS, TraCI: 7ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (43ms ~= 23.26*RT, ~17627.91UPS, TraCI: 7ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (51ms ~= 19.61*RT, ~15921.57UPS, TraCI: 9ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (49ms ~= 20.41*RT, ~16877.55UPS, TraCI: 7ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (45ms ~= 22.22*RT, ~18644.44UPS, TraCI: 9ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (49ms ~= 20.41*RT, ~17326.53UPS, TraCI: 0ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (54ms ~= 18.52*RT, ~15814.81UPS, TraCI: 6ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (51ms ~= 19.61*RT, ~17470.59UPS, TraCI: 9ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (49ms ~= 20.41*RT, ~18122.45UPS, TraCI: 6ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (51ms ~= 19.61*RT, ~17901.96UPS, TraCI: 9ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (49ms ~= 20.41*RT, ~19102.04UPS, TraCI: 9ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (53ms ~= 18.87*RT, ~17716.98UPS, TraCI: 0ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (50ms ~= 20.00*RT, ~18460.00UPS, TraCI: 8ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (52ms ~= 19.23*RT, ~17769.23UPS, TraCI: 9ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (53ms ~= 18.87*RT, ~17377.36UPS, TraCI: 9ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (51ms ~= 19.61*RT, ~18333.33UPS, TraCI: 7ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (56ms ~= 17.86*RT, ~16928.57UPS, TraCI: 7ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (50ms ~= 20.00*RT, ~19200.00UPS, TraCI: 6ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (53ms ~= 18.87*RT, ~18188.68UPS, TraCI: 7ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (55ms ~= 18.18*RT, ~17545.45UPS, TraCI: 7ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (52ms ~= 19.23*RT, ~18192.31UPS, TraCI: 0ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (57ms ~= 17.54*RT, ~16912.28UPS, TraCI: 7ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (51ms ~= 19.61*RT, ~18823.53UPS, TraCI: 9ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (51ms ~= 19.61*RT, ~18647.06UPS, TraCI: 9ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (53ms ~= 18.87*RT, ~18150.94UPS, TraCI: 9ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3609.00 (114ms ~= 8.77*RT, ~8491.23UPS, TraCI: 22ms, vehicles TOT 2432 ACT 968 BUF 2

Step #0.00 (2ms ~= 500.00*RT, ~2500.00UPS, TraCI: 6ms, vehicles TOT 5 ACT 5 BUF 50)       
Step #100.00 (2ms ~= 500.00*RT, ~58000.00UPS, TraCI: 6ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (3ms ~= 333.33*RT, ~56333.33UPS, TraCI: 3ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 8ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 8ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 8ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (14ms ~= 71.43*RT, ~28142.86UPS, TraCI: 1ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (16ms ~= 62.50*RT, ~27750.00UPS, TraCI: 1ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 8ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (32ms ~= 31.25*RT, ~16937.50UPS, TraCI: 7ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (31ms ~= 32.26*RT, ~20483.87UPS, TraCI: 9ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (37ms ~= 27.03*RT, ~18297.30UPS, TraCI: 7ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (43ms ~= 23.26*RT, ~16720.93UPS, TraCI: 5ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (43ms ~= 23.26*RT, ~17627.91UPS, TraCI: 7ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (51ms ~= 19.61*RT, ~15921.57UPS, TraCI: 9ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (50ms ~= 20.00*RT, ~16540.00UPS, TraCI: 7ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (47ms ~= 21.28*RT, ~17851.06UPS, TraCI: 9ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (49ms ~= 20.41*RT, ~17326.53UPS, TraCI: 9ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (51ms ~= 19.61*RT, ~16745.10UPS, TraCI: 8ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (55ms ~= 18.18*RT, ~16200.00UPS, TraCI: 6ms, vehicles TOT 1681 ACT 891 BUF 3
Step #2000.00 (52ms ~= 19.23*RT, ~17076.92UPS, TraCI: 8ms, vehicles TOT 1743 ACT 888 BUF 4
Step #2100.00 (52ms ~= 19.23*RT, ~17557.69UPS, TraCI: 8ms, vehicles TOT 1810 ACT 913 BUF 5
Step #2200.00 (51ms ~= 19.61*RT, ~18352.94UPS, TraCI: 0ms, vehicles TOT 1868 ACT 936 BUF 5
Step #2300.00 (51ms ~= 19.61*RT, ~18411.76UPS, TraCI: 9ms, vehicles TOT 1901 ACT 939 BUF 6
Step #2400.00 (62ms ~= 16.13*RT, ~14887.10UPS, TraCI: 7ms, vehicles TOT 1935 ACT 923 BUF 7
Step #2500.00 (54ms ~= 18.52*RT, ~17111.11UPS, TraCI: 7ms, vehicles TOT 1967 ACT 924 BUF 8
Step #2600.00 (54ms ~= 18.52*RT, ~17055.56UPS, TraCI: 0ms, vehicles TOT 2000 ACT 921 BUF 9
Step #2700.00 (52ms ~= 19.23*RT, ~17980.77UPS, TraCI: 8ms, vehicles TOT 2042 ACT 935 BUF 1
Step #2800.00 (56ms ~= 17.86*RT, ~16928.57UPS, TraCI: 8ms, vehicles TOT 2106 ACT 948 BUF 1
Step #2900.00 (50ms ~= 20.00*RT, ~19200.00UPS, TraCI: 7ms, vehicles TOT 2164 ACT 960 BUF 1
Step #3000.00 (50ms ~= 20.00*RT, ~19280.00UPS, TraCI: 8ms, vehicles TOT 2201 ACT 964 BUF 1
Step #3100.00 (57ms ~= 17.54*RT, ~16929.82UPS, TraCI: 7ms, vehicles TOT 2233 ACT 965 BUF 1
Step #3200.00 (53ms ~= 18.87*RT, ~17849.06UPS, TraCI: 8ms, vehicles TOT 2265 ACT 946 BUF 1
Step #3300.00 (53ms ~= 18.87*RT, ~18188.68UPS, TraCI: 7ms, vehicles TOT 2318 ACT 964 BUF 1
Step #3400.00 (54ms ~= 18.52*RT, ~17777.78UPS, TraCI: 7ms, vehicles TOT 2348 ACT 960 BUF 1
Step #3500.00 (52ms ~= 19.23*RT, ~18288.46UPS, TraCI: 0ms, vehicles TOT 2383 ACT 951 BUF 1
Step #3600.00 (63ms ~= 15.87*RT, ~15269.84UPS, TraCI: 9ms, vehicles TOT 2424 ACT 962 BUF 2
Step #3603.00 (53ms ~= 18.87*RT, ~18188.68UPS, TraCI: 15ms, vehicles TOT 2426 ACT 964 BUF 

Step #0.00 (1ms ~= 1000.00*RT, ~5000.00UPS, TraCI: 5ms, vehicles TOT 5 ACT 5 BUF 50)      
Step #100.00 (4ms ~= 250.00*RT, ~29000.00UPS, TraCI: 7ms, vehicles TOT 128 ACT 116 BUF 1) 
Step #200.00 (4ms ~= 250.00*RT, ~42250.00UPS, TraCI: 3ms, vehicles TOT 221 ACT 169 BUF 0) 
Step #300.00 (5ms ~= 200.00*RT, ~43400.00UPS, TraCI: 7ms, vehicles TOT 310 ACT 217 BUF 10)
Step #400.00 (7ms ~= 142.86*RT, ~39285.71UPS, TraCI: 3ms, vehicles TOT 407 ACT 275 BUF 0) 
Step #500.00 (10ms ~= 100.00*RT, ~34200.00UPS, TraCI: 8ms, vehicles TOT 507 ACT 342 BUF 0)
Step #600.00 (14ms ~= 71.43*RT, ~28142.86UPS, TraCI: 9ms, vehicles TOT 595 ACT 394 BUF 10)
Step #700.00 (17ms ~= 58.82*RT, ~26117.65UPS, TraCI: 9ms, vehicles TOT 693 ACT 444 BUF 0) 
Step #800.00 (21ms ~= 47.62*RT, ~23761.90UPS, TraCI: 7ms, vehicles TOT 785 ACT 499 BUF 0) 
Step #900.00 (29ms ~= 34.48*RT, ~18689.66UPS, TraCI: 8ms, vehicles TOT 861 ACT 542 BUF 61)
Step #1000.00 (34ms ~= 29.41*RT, ~18676.47UPS, TraCI: 8ms, vehicles TOT 998 ACT 635 BUF 16
Step #1100.00 (36ms ~= 27.78*RT, ~18805.56UPS, TraCI: 9ms, vehicles TOT 1094 ACT 677 BUF 3
Step #1200.00 (44ms ~= 22.73*RT, ~16340.91UPS, TraCI: 9ms, vehicles TOT 1178 ACT 719 BUF 7
Step #1300.00 (44ms ~= 22.73*RT, ~17227.27UPS, TraCI: 8ms, vehicles TOT 1270 ACT 758 BUF 8
Step #1400.00 (51ms ~= 19.61*RT, ~15921.57UPS, TraCI: 7ms, vehicles TOT 1367 ACT 812 BUF 1
Step #1500.00 (47ms ~= 21.28*RT, ~17595.74UPS, TraCI: 8ms, vehicles TOT 1429 ACT 827 BUF 1
Step #1600.00 (45ms ~= 22.22*RT, ~18644.44UPS, TraCI: 8ms, vehicles TOT 1489 ACT 839 BUF 2
Step #1700.00 (48ms ~= 20.83*RT, ~17687.50UPS, TraCI: 6ms, vehicles TOT 1552 ACT 849 BUF 2
Step #1800.00 (50ms ~= 20.00*RT, ~17080.00UPS, TraCI: 2ms, vehicles TOT 1601 ACT 854 BUF 3
Step #1900.00 (54ms ~= 18.52*RT, ~16500.00UPS, TraCI: 8ms, vehicles TOT 1681 ACT 891 BUF 3
